id,grammarType,group,sentence,optionA,optionB,optionC,optionD,correct,infinitive,preteritum,meaning,translation,synonym,antonym
293,Perfekt (Partizip II),,Alle Plätze im Zug waren schon ______.,versetzt,eingesetzt,aufgesetzt,besetzt,besetzt,besetzen,besetzte,chiếm giữ,Tất cả chỗ ngồi trên tàu đều đã có người ngồi.,belegen,freigemacht (bỏ trống)
294,Perfekt (Partizip II),,Die Touristen sind heute Morgen ______.,verreist,unterbrochen,abgereist,abgenommen,abgereist,abreisen,reiste ab,"khởi hành, lên đường",Sáng nay các du khách đã lên đường rời đi.,aufbrechen,angekommen (đến nơi)
295,Perfekt (Partizip II),,Ich habe das Buch der Bibliothek ______.,weitergegeben,zurückgegeben,eingegeben,aufgegeben,zurückgegeben,zurückgeben,gab zurück,trả lại,Tôi đã trả sách lại cho thư viện.,retournieren,behalten (giữ lại)
296,Perfekt (Partizip II),,Auf dem Konto sind hohe Zinsen ______.,verlaufen,aufgelaufen,eingelaufen,abgelaufen,aufgelaufen,auflaufen,lief auf,mắc cạn; tích lũy,Lãi suất cao đã tích lũy trong tài khoản.,sich ansammeln,
297,Perfekt (Partizip II),,Der Bus ist gerade ______.,angefahren,weggefahren,ausgefahren,aufgefahren,ausgefahren,ausfahren,fuhr aus,lái ra ngoài,Xe buýt vừa mới chạy ra.,hinausfahren,eingefahren (vào ga)
298,Perfekt (Partizip II),,Sie hat das Ergebnis geduldig ______.,eingestellt,erwartet,besucht,abgewartet,abgewartet,abwarten,wartete ab,chờ đợi (kết quả),Cô ấy đã kiên nhẫn chờ đợi kết quả.,warten auf,
299,Perfekt (Partizip II),,Ich habe meinen Koffer schon ______.,ausgemacht,ausgepackt,angepackt,eingepackt,eingepackt,einpacken,packte ein,"đóng gói, gói lại",Tôi đã đóng gói vali của mình rồi.,verpacken,ausgepackt (mở gói)
300,Perfekt (Partizip II),,Die Konferenz wurde in Berlin ______.,behalten,unterhalten,angehalten,abgehalten,abgehalten,abhalten,hielt ab,tổ chức; ngăn cản,Hội nghị đã được tổ chức tại Berlin.,durchführen,
301,Perfekt (Partizip II),,Wir haben uns den Film gestern ______.,nachgesehen,zugesehen,angesehen,vorgesehen,angesehen,ansehen,sah an,"nhìn, xem",Hôm qua chúng tôi đã xem bộ phim đó.,betrachten,
302,Perfekt (Partizip II),,Er hat die Führerscheinprüfung ______.,entstanden,aufgestanden,bestanden,angestanden,bestanden,bestehen,bestand,đỗ (thi); tồn tại,Anh ấy đã đỗ kỳ thi lái xe.,(eine Prüfung) schaffen,durchgefallen (thi trượt)
303,Perfekt (Partizip II),,Er hat uns sein neuestes Stück am Klavier ______.,abgespielt,vorgespielt,abgeschnitten,mitgespielt,vorgespielt,vorspielen,spielte vor,biểu diễn cho ai xem,Anh ấy đã chơi cho chúng tôi nghe bản nhạc mới nhất của mình trên đàn piano.,präsentieren,
304,Perfekt (Partizip II),,Nach der Pause haben wir die Arbeit ______.,fortgesetzt,abgesetzt,eingesetzt,durchgesetzt,fortgesetzt,fortsetzen,setzte fort,tiếp tục,"Sau giờ nghỉ, chúng tôi đã tiếp tục công việc.",weiterführen,unterbrochen (ngắt quãng)
305,Perfekt (Partizip II),,Er ist auf dem Land ______.,überwacht,aufgewachsen,bewacht,erwacht,aufgewachsen,aufwachsen,wuchs auf,lớn lên,Anh ấy đã lớn lên ở vùng nông thôn.,groß werden,
306,Perfekt (Partizip II),,Die Tür ist von selbst ______.,aufgegangen,ausgegangen,weggegangen,zugegangen,zugegangen,zugehen,ging zu,đóng lại (tự động),Cánh cửa tự đóng lại.,schließen,aufgegangen (mở ra)
307,Perfekt (Partizip II),,Wir haben uns in der fremden Stadt ______.,ausgefahren,verfahren,eingefahren,mitgefahren,verfahren,verfahren,verfuhr,đi lạc đường,Chúng tôi đã bị lạc đường ở thành phố xa lạ.,sich verirren,
308,Perfekt (Partizip II),,Plötzlich ist ein technisches Problem ______.,eingetreten,betreten,übertreten,angetreten,eingetreten,eintreten,trat ein,bước vào; xảy ra,Đột nhiên một sự cố kỹ thuật đã xảy ra.,hineingehen,
309,Perfekt (Partizip II),,Der Zettel wurde ans Brett ______.,abgeschlagen,aufgeschlagen,vorgeschlagen,angeschlagen,angeschlagen,anschlagen,schlug an,dán thông báo; va vào,Tờ giấy đã được dán lên bảng thông báo.,befestigen,
310,Perfekt (Partizip II),,Er hat sich in der Diskussion ruhig ______.,aufgehalten,festgehalten,abgehalten,verhalten,verhalten,verhalten,verhielt,cư xử,Anh ấy đã cư xử điềm tĩnh trong cuộc tranh luận.,sich benehmen,
311,Perfekt (Partizip II),,Er hat sich in der Prüfung merkwürdig ______.,eingenommen,benommen,weggenommen,vernommen,benommen,benehmen,benahm,cư xử,Anh ấy đã cư xử kỳ lạ trong kỳ thi.,sich verhalten,
312,Präsens,STEHEN,Ich stehe jeden Morgen um sechs Uhr ______. Ich will pünktlich zur Arbeit kommen.,auf,an,,,auf,aufstehen,stand auf,thức dậy,Sáng nào tôi cũng thức dậy lúc sáu giờ. Tôi muốn đến chỗ làm đúng giờ.,sich erheben,eingeschlafen (chìm vào giấc ngủ)
313,Präteritum,STEHEN,Ich stand heute um sechs Uhr ______. Ich will pünktlich zur Arbeit kommen.,auf,an,,,auf,aufstehen,stand auf,thức dậy,Hôm nay tôi đã thức dậy lúc sáu giờ. Tôi muốn đến chỗ làm đúng giờ.,sich erheben,eingeschlafen (chìm vào giấc ngủ)
314,Futur I,STEHEN,Ich werde morgen früh ______. Ich will pünktlich zur Arbeit kommen.,aufstehen,anstehen,bestehen,verstehen,aufstehen,aufstehen,stand auf,thức dậy,Ngày mai tôi sẽ thức dậy sớm. Tôi muốn đến chỗ làm đúng giờ.,sich erheben,eingeschlafen (chìm vào giấc ngủ)
315,Präsens,KOMMEN,Der Zug kommt um acht Uhr in Berlin ______. Alle Passagiere sind froh darüber.,an,mit,weg,zurück,an,ankommen,kam an,đến nơi,Tàu đến Berlin lúc tám giờ. Tất cả hành khách đều vui vì điều đó.,eintreffen,abgefahren (khởi hành)
316,Präteritum,KOMMEN,Der Zug kam gestern pünktlich ______. Alle Passagiere sind froh darüber.,an,mit,weg,zurück,an,ankommen,kam an,đến nơi,Hôm qua tàu đã đến đúng giờ. Tất cả hành khách đều vui vì điều đó.,eintreffen,abgefahren (khởi hành)
317,Futur I,KOMMEN,Der Zug wird gleich in Berlin ______. Alle Passagiere sind froh darüber.,ankommen,mitkommen,zurückkommen,bekommen,ankommen,ankommen,kam an,đến nơi,Tàu sắp đến Berlin. Tất cả hành khách đều vui vì điều đó.,eintreffen,abgefahren (khởi hành)
318,Präsens,GEHEN,Wir gehen heute Abend ______. Wir wollen ein neues Restaurant ausprobieren.,aus,weg,an,zu,aus,ausgehen,ging aus,đi chơi,Tối nay chúng tôi đi chơi. Chúng tôi muốn thử một nhà hàng mới.,enden,zu Hause geblieben (ở nhà)
319,Präteritum,GEHEN,Wir gingen letzten Samstag ______. Wir wollen ein neues Restaurant ausprobieren.,aus,weg,an,zu,aus,ausgehen,ging aus,đi chơi,Thứ Bảy tuần trước chúng tôi đã đi chơi. Chúng tôi muốn thử một nhà hàng mới.,enden,zu Hause geblieben (ở nhà)
320,Futur I,GEHEN,Wir werden heute Abend ______. Wir wollen ein neues Restaurant ausprobieren.,ausgehen,weggehen,angehen,zugehen,ausgehen,ausgehen,ging aus,đi chơi,Tối nay chúng tôi sẽ đi chơi. Chúng tôi muốn thử một nhà hàng mới.,enden,zu Hause geblieben (ở nhà)
321,Präsens,NEHMEN,Sie nimmt in letzter Zeit stark ______. Ihr Arzt hat es ihr empfohlen.,ab,zu,mit,weg,ab,abnehmen,nahm ab,giảm cân,Dạo này cô ấy giảm cân nhiều. Bác sĩ đã khuyên cô ấy làm vậy.,reduzieren,zugenommen (tăng cân)
322,Präteritum,NEHMEN,Sie nahm letztes Jahr fünf Kilo ______. Ihr Arzt hat es ihr empfohlen.,ab,zu,mit,weg,ab,abnehmen,nahm ab,giảm cân,Năm ngoái cô ấy đã giảm năm cân. Bác sĩ đã khuyên cô ấy làm vậy.,reduzieren,zugenommen (tăng cân)
323,Futur I,NEHMEN,Sie wird bald etwas ______. Ihr Arzt hat es ihr empfohlen.,abnehmen,zunehmen,mitnehmen,wegnehmen,abnehmen,abnehmen,nahm ab,giảm cân,Cô ấy sẽ sớm giảm được vài cân. Bác sĩ đã khuyên cô ấy làm vậy.,reduzieren,zugenommen (tăng cân)
324,Präsens,KAUFEN,Ich kaufe samstags immer ______. Der Kühlschrank ist nämlich leer.,ein,ab,,,ein,einkaufen,kaufte ein,mua sắm,Thứ Bảy nào tôi cũng đi mua sắm. Vì tủ lạnh đang trống trơn.,shoppen,
325,Präteritum,KAUFEN,Ich kaufte gestern im Supermarkt ______. Der Kühlschrank ist nämlich leer.,ein,ab,,,ein,einkaufen,kaufte ein,mua sắm,Hôm qua tôi đã đi mua sắm ở siêu thị. Vì tủ lạnh đang trống trơn.,shoppen,
326,Futur I,KAUFEN,Ich werde morgen ______. Der Kühlschrank ist nämlich leer.,einkaufen,abkaufen,verkaufen,,einkaufen,einkaufen,kaufte ein,mua sắm,Ngày mai tôi sẽ đi mua sắm. Vì tủ lạnh đang trống trơn.,shoppen,
327,Präsens,SUCHEN,Er ______ es immer wieder. Er gibt einfach nicht auf.,versucht,besucht,,,versucht,versuchen,versuchte,cố thử,Anh ấy luôn thử đi thử lại. Anh ấy đơn giản là không bỏ cuộc.,probieren,aufgegeben (từ bỏ)
328,Präteritum,SUCHEN,Er ______ es gestern noch einmal. Er gibt einfach nicht auf.,versuchte,besuchte,,,versuchte,versuchen,versuchte,cố thử,Hôm qua anh ấy đã thử lại một lần nữa. Anh ấy đơn giản là không bỏ cuộc.,probieren,aufgegeben (từ bỏ)
329,Futur I,SUCHEN,Er wird es noch einmal ______. Er gibt einfach nicht auf.,versuchen,besuchen,aussuchen,,versuchen,versuchen,versuchte,cố thử,Anh ấy sẽ thử lại một lần nữa. Anh ấy đơn giản là không bỏ cuộc.,probieren,aufgegeben (từ bỏ)
330,Präsens,SETZEN,Die Firma setzt neue Technologien ______. Das soll die Produktivität steigern.,ein,ab,auf,um,ein,einsetzen,setzte ein,sử dụng,Công ty đang sử dụng các công nghệ mới. Điều đó nhằm nâng cao năng suất.,verwenden,
331,Präteritum,SETZEN,Die Firma setzte letztes Jahr neue Technologien ______. Das soll die Produktivität steigern.,ein,ab,auf,um,ein,einsetzen,setzte ein,sử dụng,Năm ngoái công ty đã sử dụng các công nghệ mới. Điều đó nhằm nâng cao năng suất.,verwenden,
332,Futur I,SETZEN,Die Firma wird neue Technologien ______. Das soll die Produktivität steigern.,einsetzen,absetzen,aufsetzen,umsetzen,einsetzen,einsetzen,setzte ein,sử dụng,Công ty sẽ sử dụng các công nghệ mới. Điều đó nhằm nâng cao năng suất.,verwenden,
333,Präsens,SCHREIBEN,Ich schreibe mir die Nummer sofort ______. Sonst vergesse ich sie sofort wieder.,auf,ab,um,,auf,aufschreiben,schrieb auf,ghi chú,Tôi ghi lại số điện thoại ngay. Nếu không tôi sẽ quên ngay lập tức.,notieren,
334,Präteritum,SCHREIBEN,Ich schrieb mir die Nummer sofort ______. Sonst vergesse ich sie sofort wieder.,auf,ab,um,,auf,aufschreiben,schrieb auf,ghi chú,Tôi đã ghi lại số điện thoại ngay. Nếu không tôi sẽ quên ngay lập tức.,notieren,
335,Futur I,SCHREIBEN,Ich werde mir die Nummer sofort ______. Sonst vergesse ich sie sofort wieder.,aufschreiben,abschreiben,umschreiben,beschreiben,aufschreiben,aufschreiben,schrieb auf,ghi chú,Tôi sẽ ghi lại số điện thoại ngay. Nếu không tôi sẽ quên ngay lập tức.,notieren,
336,Präsens,FAHREN,Der Zug fährt in fünf Minuten ______. Die Passagiere müssen sich beeilen.,ab,an,aus,ein,ab,abfahren,fuhr ab,khởi hành,Tàu sẽ khởi hành trong năm phút nữa. Hành khách phải nhanh chân lên.,losfahren,angekommen (đến nơi)
337,Präteritum,FAHREN,Der Zug fuhr pünktlich ______. Die Passagiere müssen sich beeilen.,ab,an,aus,ein,ab,abfahren,fuhr ab,khởi hành,Tàu đã khởi hành đúng giờ. Hành khách phải nhanh chân lên.,losfahren,angekommen (đến nơi)
338,Futur I,FAHREN,Der Zug wird gleich ______. Die Passagiere müssen sich beeilen.,abfahren,anfahren,ausfahren,einfahren,abfahren,abfahren,fuhr ab,khởi hành,Tàu sắp khởi hành. Hành khách phải nhanh chân lên.,losfahren,angekommen (đến nơi)
339,Präsens,SPRECHEN,Der Fremde spricht mich auf der Straße ______. Er braucht nämlich Hilfe mit der Wegbeschreibung.,an,aus,ab,,an,ansprechen,sprach an,bắt chuyện,Người lạ bắt chuyện với tôi trên đường. Vì anh ta cần giúp đỡ về đường đi.,anreden,ignoriert (phớt lờ)
340,Präteritum,SPRECHEN,Der Fremde sprach mich gestern ______. Er braucht nämlich Hilfe mit der Wegbeschreibung.,an,aus,ab,,an,ansprechen,sprach an,bắt chuyện,Hôm qua người lạ đã bắt chuyện với tôi. Vì anh ta cần giúp đỡ về đường đi.,anreden,ignoriert (phớt lờ)
341,Futur I,SPRECHEN,Der Fremde wird mich sicher ______. Er braucht nämlich Hilfe mit der Wegbeschreibung.,ansprechen,aussprechen,absprechen,besprechen,ansprechen,ansprechen,sprach an,bắt chuyện,Người lạ chắc chắn sẽ bắt chuyện với tôi. Vì anh ta cần giúp đỡ về đường đi.,anreden,ignoriert (phớt lờ)
342,Präsens,STELLEN,Sie stellt ihren neuen Freund der Familie ______. Alle sind schon sehr gespannt.,vor,ab,auf,ein,vor,vorstellen,stellte vor,giới thiệu,Cô ấy giới thiệu bạn trai mới với gia đình. Mọi người đều rất tò mò.,präsentieren,
343,Präteritum,STELLEN,Sie stellte ihren neuen Freund gestern ______. Alle sind schon sehr gespannt.,vor,ab,auf,ein,vor,vorstellen,stellte vor,giới thiệu,Hôm qua cô ấy đã giới thiệu bạn trai mới. Mọi người đều rất tò mò.,präsentieren,
344,Futur I,STELLEN,Sie wird ihren neuen Freund bald ______. Alle sind schon sehr gespannt.,vorstellen,abstellen,aufstellen,einstellen,vorstellen,vorstellen,stellte vor,giới thiệu,Cô ấy sẽ sớm giới thiệu bạn trai mới. Mọi người đều rất tò mò.,präsentieren,
345,Präsens,ZIEHEN,Wir ziehen nächsten Monat ______. Die neue Wohnung ist viel größer.,um,ein,aus,an,um,umziehen,zog um,chuyển nhà,Tháng sau chúng tôi chuyển nhà. Căn hộ mới rộng hơn nhiều.,übersiedeln,geblieben (ở lại)
346,Präteritum,ZIEHEN,Wir zogen letztes Jahr ______. Die neue Wohnung ist viel größer.,um,ein,aus,an,um,umziehen,zog um,chuyển nhà,Năm ngoái chúng tôi đã chuyển nhà. Căn hộ mới rộng hơn nhiều.,übersiedeln,geblieben (ở lại)
347,Futur I,ZIEHEN,Wir werden bald ______. Die neue Wohnung ist viel größer.,umziehen,einziehen,ausziehen,anziehen,umziehen,umziehen,zog um,chuyển nhà,Chúng tôi sẽ sớm chuyển nhà. Căn hộ mới rộng hơn nhiều.,übersiedeln,geblieben (ở lại)
348,Präsens,HALTEN,Der Bus hält an der Ampel ______. Die Fußgänger können sicher überqueren.,an,auf,ab,fest,an,anhalten,hielt an,dừng lại,Xe buýt dừng lại ở đèn giao thông. Người đi bộ có thể qua đường an toàn.,stoppen,weitergefahren (tiếp tục đi)
349,Präteritum,HALTEN,Der Bus hielt an der Ampel ______. Die Fußgänger können sicher überqueren.,an,auf,ab,fest,an,anhalten,hielt an,dừng lại,Xe buýt đã dừng lại ở đèn giao thông. Người đi bộ có thể qua đường an toàn.,stoppen,weitergefahren (tiếp tục đi)
350,Futur I,HALTEN,Der Bus wird gleich ______. Die Fußgänger können sicher überqueren.,anhalten,aufhalten,abhalten,festhalten,anhalten,anhalten,hielt an,dừng lại,Xe buýt sắp dừng lại. Người đi bộ có thể qua đường an toàn.,stoppen,weitergefahren (tiếp tục đi)
351,Präsens,FALLEN,Sein Verhalten fällt mir sofort ______. Niemand kann ihn übersehen.,auf,aus,ein,weg,auf,auffallen,fiel auf,gây chú ý,Hành vi của anh ấy khiến tôi chú ý ngay. Không ai có thể bỏ qua anh ấy.,bemerkbar sein,unbemerkt geblieben (không bị chú ý)
352,Präteritum,FALLEN,Sein Verhalten fiel mir sofort ______. Niemand kann ihn übersehen.,auf,aus,ein,weg,auf,auffallen,fiel auf,gây chú ý,Hành vi của anh ấy đã khiến tôi chú ý ngay. Không ai có thể bỏ qua anh ấy.,bemerkbar sein,unbemerkt geblieben (không bị chú ý)
353,Futur I,FALLEN,Sein Verhalten wird bestimmt ______. Niemand kann ihn übersehen.,auffallen,ausfallen,einfallen,wegfallen,auffallen,auffallen,fiel auf,gây chú ý,Hành vi của anh ấy chắc chắn sẽ gây chú ý. Không ai có thể bỏ qua anh ấy.,bemerkbar sein,unbemerkt geblieben (không bị chú ý)
354,Präsens,SEHEN,Die Kinder sehen jeden Abend ______. Ihre Lieblingsserie kommt nämlich heute.,fern,zu,nach,,fern,fernsehen,sah fern,xem tivi,Tối nào bọn trẻ cũng xem tivi. Vì bộ phim yêu thích của họ chiếu hôm nay.,,
355,Präteritum,SEHEN,Die Kinder sahen gestern lange ______. Ihre Lieblingsserie kommt nämlich heute.,fern,zu,nach,,fern,fernsehen,sah fern,xem tivi,Hôm qua bọn trẻ đã xem tivi rất lâu. Vì bộ phim yêu thích của họ chiếu hôm nay.,,
356,Futur I,SEHEN,Die Kinder werden heute Abend ______. Ihre Lieblingsserie kommt nämlich heute.,fernsehen,zusehen,nachsehen,ansehen,fernsehen,fernsehen,sah fern,xem tivi,Tối nay bọn trẻ sẽ xem tivi. Vì bộ phim yêu thích của họ chiếu hôm nay.,,
357,Präsens,LEGEN,Wir legen den Termin für Montag ______. Alle Teilnehmer müssen dann anwesend sein.,fest,an,auf,ein,fest,festlegen,legte fest,ấn định,Chúng tôi ấn định lịch hẹn vào thứ Hai. Tất cả người tham gia phải có mặt lúc đó.,bestimmen,
358,Präteritum,LEGEN,Wir legten den Termin für Montag ______. Alle Teilnehmer müssen dann anwesend sein.,fest,an,auf,ein,fest,festlegen,legte fest,ấn định,Chúng tôi đã ấn định lịch hẹn vào thứ Hai. Tất cả người tham gia phải có mặt lúc đó.,bestimmen,
359,Futur I,LEGEN,Wir werden den Termin bald ______. Alle Teilnehmer müssen dann anwesend sein.,festlegen,anlegen,auflegen,einlegen,festlegen,festlegen,legte fest,ấn định,Chúng tôi sẽ sớm ấn định lịch hẹn. Tất cả người tham gia phải có mặt lúc đó.,bestimmen,
360,Präsens,SCHLIESSEN,Ich schließe mein Studium bald ______. Danach möchte ich ein Praktikum machen.,ab,an,ein,aus,ab,abschließen,schloss ab,hoàn thành,Tôi sắp hoàn thành việc học đại học. Sau đó tôi muốn đi thực tập.,beenden,angefangen (bắt đầu)
